Sr no,Date,Startup name,Industry Vertical,Sub Vertical,City Location,Investment Name,Investment Type,Amount in USD,Remarks
2490,06/8/2015,practo,Doctor Appointment booking a,nan,Bangalore,"Sofina, Google Cap",Private Equity,"9,00,00,000",Series C
2491,06/8/2015,LoudShout,anonymous bulletin board app,nan,New Delhi,"Sanjay Sethi, Ravi J",Seed Funding,N/A,
2492,06/8/2015,Wetravelsolo,Travel community platform,nan,New Delhi,"CCube Angels, Fro",Seed Funding,N/A,
2493,06/8/2015,Ketto,Crowd funding platform,nan,Mumbai,"Chennai Angels, Ca",Seed Funding,"7,00,000",
2494,06/8/2015,Ezetap,Mobile based PoS solution,nan,Bangalore,"Horizons Ventures,",Private Equity,"2,50,00,000",Series C
2495,06/8/2015,NDTV ecommerce venture,Car & Bike ecommerce platfor,nan,Mumbai,"Inflexionpoint, Pram",Private Equity,N/A,Series A
2496,07/8/2015,Carls Jr,Fast food Chain Franchisee,nan,Gurgaon,YouWeCan Venture,Seed Funding,"6,30,000",
2497,07/8/2015,EasyRewardz,Loyalty Programs & Reward P,nan,Mumbai,"Wealth First, Ashne",Private Equity,"5,00,000",Pre-Series A
2498,07/8/2015,GIBSS,Energy saving solutions provid,nan,Mumbai,responsAbility Inves,Private Equity,N/A,Series A
2499,07/8/2015,StoreMore,Self-Storage Spaces,nan,Noida,Bedrock Ventures,Seed Funding,N/A,
2500,07/8/2015,iOrderFresh,Grocery retail Mobile app,nan,New Delhi,Best Foodworks,Seed Funding,N/A,
2501,10/8/2015,MyTaxiIndia,Taxi Rental platform,nan,Gurgaon,"Nihon Kotsu,",Private Equity,"5,00,000",Pre Series-A
2502,10/8/2015,eSadar,ecommerce,nan,New Delhi,"Neha Vats, Gaurav",Seed Funding,"80,000",
2503,10/8/2015,Actionable Analytics,Machine Learning Platform,nan,New Delhi,"B M Gupta, Vinod S",Seed Funding,N/A,
2504,10/8/2015,MyPoolin,mobile social network,nan,New Delhi,QPrize from Qualco,Seed Funding,"2,50,000",QPrize Contest Winners
2505,10/8/2015,NearBuy,Hyper-Local Ecommerce,nan,New Delhi,Sequoia Capital,Private Equity,"1,60,00,000",Series A
2506,10/8/2015,Inkmonk,Online printing marketplace,nan,Chennai,Girish Mathrubooth,Seed Funding,"2,50,000",
2507,10/8/2015,ToneTag,mobile payment software platf,nan,Bangalore,Reliance Capital Ve,Private Equity,"10,00,000",Series A
2508,10/8/2015,Grey Orange,Automated Storage & Wareho,nan,Gurgaon,Tiger Global Manag,Private Equity,"3,00,00,000",Series B
2509,11/8/2015,Livspace,Home Design & D\\xc3\\xa9co,nan,Bangalore,"Helion Ventures, Ju",Private Equity,"80,00,000",Series A
2510,11/8/2015,WOW! MOMO,Quick Service Restaurant Cha,nan,Kolkata,Indian Angel Netwo,Seed Funding,"16,00,000",
2511,11/8/2015,RainCan,Subscription based Online Gro,nan,Pune,Ajeet Khurana & Ot,Seed Funding,"1,00,000",
2512,11/8/2015,Allygrow Technologies,engineering services company,nan,Mumbai,Zodius Technology,Private Equity,"2,00,00,000",Series A
2513,11/8/2015,Infogain,Business and IT consulting,nan,New Delhi,ChrysCapital,Private Equity,"6,30,00,000",N/A
2514,12/8/2015,OneAssist,Credit Card Fraud protection s,nan,Mumbai,"Sequoia Capital, Lig",Private Equity,"75,00,000",Series B
2515,12/8/2015,BigBasket,Online & mobile Grocery store,nan,Bangalore,Bessemer Venture,Private Equity,"5,00,00,000",Series C
2516,12/8/2015,Sheroes,Career Community for Women,nan,Noida,"Quintillion Media, 5",Seed Funding,"7,70,000",
2517,12/8/2015,Scripbox,Mutual Fund Investing platform,nan,Bangalore,"Accel Partners, Dee",Private Equity,"25,00,000",Series A
2518,13/8/2015,etaout,Ecommerce Marketing Softwa,nan,Noida,"Amit Ranjan, Vijay S",Seed Funding,"5,00,000",
2519,13/8/2015,IFMR Holdings,Financial Inclusion platform,nan,Chennai,"Accion, LeapFrog In",Private Equity,"2,50,00,000",Series B
2520,13/8/2015,Massblurb,Digital Marketing automation s,nan,Mumbai,"LetsVenture, Mumb",Seed Funding,N/A,
2521,13/8/2015,Agrostar,Mobile Commerce for Farmers,nan,Pune,IDG Ventures,Private Equity,"40,00,000",Series A
2522,14/8/2015,VoxWeb,Picture based Social App,nan,Mumbai,Jitendra Gupta & ot,Seed Funding,"1,00,000",
2523,14/8/2015,Trukky,Logistics service platform,nan,Ahmedabad,Gujarat based ange,Seed Funding,"2,45,000",
2524,14/8/2015,VanityCube,On-Demand Beauty Services,nan,New Delhi,Group of angel inve,Seed Funding,N/A,
2525,17/8/2015,Edu4Share,Exam Preparation Platform,nan,New Delhi,Nalin Jain & other a,Seed Funding,"2,20,000",
2526,17/8/2015,YourStory,Startup Focused Online Publis,nan,Mumbai,"Ratan Tata, Vani Ko",Seed Funding,N/A,
2527,17/8/2015,Sampurnearth,Waste Management Solutions,nan,Mumbai,Intellecap Impact In,Seed Funding,"1,60,000",
2528,17/8/2015,Orobind,App based Fitness coaching,nan,Bangalore,Existing & New Inve,Private Equity,N/A,pre series A
2529,17/8/2015,Fixy,On demand cleaning & fixing s,nan,Mumbai,VentureNursery,Seed Funding,N/A,
2530,17/8/2015,MSM Box,Beauty & Lifestyle platform,nan,New Delhi,Rohit Goel,Seed Funding,N/A,
2531,17/8/2015,ShadowFax,on-demand delivery service,nan,Gurgaon,"Kunal Bahl, Rohit B",Seed Funding,"3,10,000",
2532,17/8/2015,Gadgets 360,Car & Bike ecommerce platfor,nan,New Delhi,One97 Communicat,Private Equity,N/A,Strategic Investment
2533,18/8/2015,Roposo,Fashion Discovery platform,nan,Gurgaon,Tiger Global,Private Equity,"1,50,00,000",Series B
2534,18/8/2015,IntelligenceNODE,Data Analytics Platform,nan,Mumbai,New Enterprise Ass,Private Equity,"42,00,000",Series A
2535,18/8/2015,HyperVerge,Deep Learning Cloud Algorith,nan,Chennai,"NEA, Milliways Vent",Seed Funding,"10,00,000",
2536,18/8/2015,Twyst,Location based engagement &,nan,Gurgaon,"Rohit Bhatia, Sunil",Seed Funding,N/A,
2537,18/8/2015,IDfy,Online Identity Verification Ser,nan,Mumbai,"NEA, Blume Ventur",Private Equity,N/A,Series A
2538,18/8/2015,Zoojoo,Corporate Wellness App,nan,Bangalore,RoundGlass Partne,Private Equity,"10,00,000",Series A
2539,19/8/2015,Fashionove,Fashion Search & Review Pla,nan,Kolkata,Umesh Yadav,Seed Funding,N/A,
2540,19/8/2015,TimeSaverz,"Hyperlocal Maintenance, Rep",nan,Mumbai,Unilazer Ventures,Private Equity,"24,00,000",
2541,19/8/2015,Envoged,pre-owned Luxury online appa,nan,Mumbai,"Manish Dhingra, An",Seed Funding,N/A,
2542,19/8/2015,MebelKart,Online Furniture Marketplace,nan,Bangalore,AskMe,Private Equity,"2,00,00,000",
2543,20/8/2015,LabsAdvisor,Online Diagnostic Tests Marke,nan,New Delhi,Group of Angel Inve,Seed Funding,"1,56,000",
2544,20/8/2015,Flatpebble,Online marketplace for Photog,nan,Hyderabad,Indian Angel Netwo,Seed Funding,"6,00,000",
2545,20/8/2015,Bluegape,Visual Blogging platform,nan,New Delhi,"ah! Ventures, Times",Seed Funding,"6,00,000",
2546,21/8/2015,ePoise,Job Search Platform,nan,Bangalore,Orios Venture Partn,Seed Funding,"5,00,000",
2547,24/8/2015,Jolly Food Fellow,Food Customer analytics platf,nan,Ahmedabad,The 1947,Seed Funding,"3,00,000",
2548,24/8/2015,BookMeIn,Professional Service Appointm,nan,Mumbai,Ajmera Group of Co,Seed Funding,"4,00,000",
2549,24/8/2015,iZofy,Scientific Horoscope Online A,nan,Kolkata,Prime Capital Mark,Seed Funding,N/A,
2550,24/8/2015,rBus,Tech enabled AC bus service,nan,Mumbai,"India Quotient, Anu",Seed Funding,N/A,
2551,25/8/2015,Qyk App,On-Demand App based Profe,nan,Bangalore,"GrowX ventures, Tr",Private Equity,"10,00,000",pre-series A
2552,25/8/2015,EazyDiner,Restaurant Reservation Platfo,nan,Gurgaon,DSG Consumer Par,Private Equity,"30,00,000",Series A
2553,25/8/2015,RevX,Cross-channel CRM platform,nan,Mumbai,Norwest Venture Pa,Private Equity,"40,00,000",Series A
2554,25/8/2015,ICustomMadeIt,Professional Custom creators,nan,Pune,Group of Angel Inve,Seed Funding,"2,50,000",
2555,26/8/2015,PickMyLaundry,on-Demand Washing & Dry-Cl,nan,New Delhi,GHV Accelerator,Seed Funding,"1,00,000",
2556,26/8/2015,Belita,On-Demand Beauty Service,nan,Mumbai,"India Quotient, Lets",Seed Funding,"4,00,000",
2557,26/8/2015,EzySolare,solar products and services m,nan,Ahmedabad,Infuse Ventures,Seed Funding,N/A,
2558,26/8/2015,FoodTalkIndia,Online Food Community Platfo,nan,Gurgaon,Undisclosed Investo,Seed Funding,"5,00,000",
2559,27/8/2015,InstaSafe,Private Cloud Networks SAAS,nan,Bangalore,Group of Investors,Seed Funding,N/A,
2560,27/8/2015,Eazy Coach,Education Marketplace,nan,Kolkata,Ravi Agarwal,Seed Funding,N/A,
2561,27/8/2015,Djubo,Cloud Based Hotel Sales Platf,nan,New Delhi,Ibibo Group,Private Equity,N/A,Strategic Investment
2562,28/8/2015,betterbutter,online recipe sharing platform,nan,New Delhi,"Growx Ventures, M",Seed Funding,N/A,
2563,28/8/2015,Vyomo,Beauty & Lifestyle Mobile Mar,nan,Bangalore,Rocket Internet,Private Equity,"20,00,000",Pre-Series A
2564,28/8/2015,RollMafia,QSR Restaurant Chain,nan,Pune,Equentia Natural Re,Seed Funding,"1,60,000",
2565,29/8/2015,iamwire,Digital Media publishing platfo,nan,Gurgaon,"Li Tao, Li Jian, Drap",Seed Funding,N/A,
2566,31/8/2015,DropKaffe,Online Coffee Delivery platfor,nan,Bangalore,"Manish Singhal, P3",Seed Funding,"3,00,000",
2567,31/8/2015,Reverie,Language Localization Cloud,nan,Bangalore,Aspada Investment,Private Equity,"40,00,000",Series A
2568,31/8/2015,Infinite Analytics,Big Data & predictive Analysis,nan,Mumbai,"Ratan Tata, Nikhil V",Private Equity,N/A,Bridge Round
2569,01/7/2015,Parcelled,Online Logistics Platform,nan,Bangalore,"Delhivery, Tracxn L",Seed Funding,N/A,
2570,01/7/2015,Retigence Technologies,Business IT Intelligence Servi,nan,Mumbai,Omnivore Partners,Private Equity,N/A,Series A
2571,01/7/2015,Cloudcherry Analytics,CRM / Analytics platform,nan,Chennai,The Chennai Angel,Seed Funding,"10,00,000",
2572,01/7/2015,HandyHome,Hyperlocal Electronics repair S,nan,Mumbai,Bessemer Ventures,Seed Funding,"6,30,000",
2573,01/7/2015,iDreamCareer,Ed-Tech Platform,nan,New Delhi,"ah! Ventures, Vivek",Seed Funding,N/A,
2574,01/7/2015,Ola Cabs,Cab rental Mobile app,nan,Bangalore,Ratan Tata,Private Equity,N/A,Personal Investment
2575,01/7/2015,NxtGen,IT infrastructure & Data Cente,nan,Bangalore,"IFC, Axon Partners,",Private Equity,"1,35,00,000",Series A
2576,02/7/2015,BankBazaar,Online Financial Services,nan,Chennai,"Amazon, Fidelity Gr",Private Equity,"6,00,00,000",Series C\\n(More here)
2577,02/7/2015,Gozoomo,Used Car Marketplace,nan,Bangalore,SAIF Partners,Private Equity,"50,00,000",Series A
2578,02/7/2015,Zenatix,Internet of Things platform,nan,Gurgaon,"Rajan Anandan, Ku",Seed Funding,"1,61,000",
2579,03/7/2015,CultureAlley,Language Learning App,nan,Jaipur,Tiger Global,Private Equity,"65,00,000",Series A
2580,03/7/2015,Goqii,Mobile Fitness Marketplace,nan,Mumbai,Vijay Shekhar Shar,Private Equity,N/A,Pre-Series A
2581,03/7/2015,Gingercrush,Custom Merchandize platform,nan,Ahmedabad,"Gokul Jaykrishna, B",Seed Funding,"10,00,000",
2582,04/7/2015,Elanic,P2P Pre-owned goods market,nan,Bangalore,"Rebright Partners, T",Seed Funding,N/A,
2583,04/7/2015,Stitchwood,Custom Furniture Marketplace,nan,Mumbai,Powai Lake Venture,Seed Funding,"3,95,000",
2584,05/7/2015,Urban Tailor,Online Tailoring Services,nan,Bangalore,Group of angel inve,Seed Funding,N/A,
2585,06/7/2015,ConfirmtTkt,Rail Ticket Confirmation predic,nan,Bangalore,Pravin Agarwala &,Seed Funding,N/A,
2586,06/7/2015,Paper Boat,Ethnic Beverages manufactur,nan,Gurgaon,"Sofina, Hillhouse C",Private Equity,"3,00,00,000",Series B
2587,06/7/2015,getNow,Hyperlocal Goods marketplac,nan,Nagpur,Atulya Mittal,Seed Funding,N/A,
2588,07/7/2015,Wudstay,Budget Accommodation aggre,nan,Gurgaon,Mangroves Capital,Private Equity,"30,00,000",Series A
2589,07/7/2015,Liases Foras,Real Estate Rating & Analysis,nan,New Delhi,DMG information As,Private Equity,"50,00,000",Series A
2590,07/7/2015,Eatlo,Food Delivery platform,nan,Bangalore,Powai Lake Venture,Seed Funding,N/A,
2591,07/7/2015,IndiaLends,Financial Tech,nan,New Delhi,DSG Consumer Par,Private Equity,N/A,Pre-Series A
2592,08/7/2015,Quinto,Food Discovery App,nan,Pune,Jaydeep Barman,Seed Funding,N/A,
2593,08/7/2015,Saavn,Music Streaming App,nan,Mumbai,Tiger Global Manag,Private Equity,"10,00,00,000",Series C
2594,08/7/2015,Flytxt,Big Data & Analytics platform,nan,Mumbai / Global,Sunrise Capital Gm,Private Equity,"1,10,00,000",Series A
2595,08/7/2015,Axtria,Big Data & Analytics platform,nan,India,Helion Venture Part,Private Equity,"3,00,00,000",Series C
2596,08/7/2015,33Coupons,Coupon Aggregator Platform,nan,Kanpur,Not Disclosed,Seed Funding,"20,000",
2597,08/7/2015,Ampere,Electric Scooter manufacturer,nan,Coimbatore,Ratan Tata,Seed Funding,N/A,
2598,08/7/2015,Hopping Chef,Online Food-Tech Platform,nan,Mumbai,Mirah Hospitality,Seed Funding,"4,70,000",Strategic Investment
2599,08/7/2015,Collectabillia,Celebrity Fashion Brand,nan,Bangalore,Accel Partners,Private Equity,"75,00,000",Series B
2600,08/7/2015,Lendingkart,Online Finance lending platfor,nan,Ahmedabad,"Saama Capital, May",Private Equity,"1,00,00,000",Series A
2601,08/7/2015,Lybrate,Healthcare Mobile App,nan,New Delhi,Tiger Global Manag,Private Equity,"1,02,00,000",Series A
2602,08/7/2015,Zoomcar,Self-driven vehicle rental,nan,Bangalore,"Sequoia Capital, Em",Private Equity,"1,10,00,000",Series B
2603,09/7/2015,News in shorts,News Aggregator mobile app,nan,Noida,Tiger Global,Private Equity,"20,000,000",Series B
2604,09/7/2015,Bluestone,Online Jewellery Store,nan,Bangalore,"IvyCap Ventures, A",Private Equity,"16,200,000",
2605,09/7/2015,Shopsity,Fashion Info Aggregator App,nan,Gurgaon,"Sandeep Aggarwal,",Seed Funding,N/A,
2606,09/7/2015,Notesgen,Online Study Notes Marketpla,nan,New Delhi,"Rajeev Saraf, Arvin",Seed Funding,N/A,
2607,10/7/2015,Infinity Assurance,Warranty Programs Service A,nan,New Delhi,Indian Angel Netwo,Seed Funding,"600,000",
2608,10/7/2015,Footprints Education,Pre-School Chain,nan,Gurgaon,"LetsVenture, Kumar",Seed Funding,"685,000",
2609,10/7/2015,Loylty Rewards,Premium Loyalty Rewards Poi,nan,Mumbai,IndianIdeas,Private Equity,"19,350,000",Late Stage
2610,13/7/2015,Ameyo,Contact Center Software Platf,nan,Gurgaon,Forum Synergies P,Private Equity,"5,000,000",Series A
2611,13/7/2015,Mamagoto,Casual Dining restaurant Chai,nan,New Delhi,Goldman Sachs,Private Equity,"10,000,000",Series A
2612,13/7/2015,Satvacart,Online Grocery Delivery,nan,Gurgaon,Palaash Ventures,Seed Funding,N/A,
2613,14/7/2015,MySmartPrice,Online comparison engine,nan,Hyderabad,"Accel Partners, Heli",Private Equity,"1,00,00,000",Series B
2614,14/7/2015,Zenify,Residential Rental manageme,nan,Bangalore,Atul Jalan,Seed Funding,N/A,
2615,14/7/2015,Boxmyspace,Physical Storage warehouses,nan,Mumbai,"Ritesh Veera, Singa",Seed Funding,"3,00,000",
2616,14/7/2015,HackerRank,Tech Recruitment platform,nan,Bangalore,HR Technology fund,Private Equity,"75,00,000",Series C
2617,14/7/2015,WickedRide,Bike Rental Platform,nan,Bangalore,Undisclosed,Seed Funding,"7,90,000",
2618,14/7/2015,WoWexpress,Tech enabled logistics platform,nan,Mumbai,Tamarind Family Pri,Seed Funding,"5,00,000",
2619,15/7/2015,Oyo Rooms,Budget Hotel Accommodation,nan,Gurgaon,"Softbank, Sequoia",Private Equity,"10,00,00,000",Series B
2620,15/7/2015,Mobikon,Restaurant customer engagem,nan,Pune,Jungle Ventures,Private Equity,"23,00,000",Series B
2621,15/7/2015,InstaLively,Live video streaming app,nan,New Delhi,"Anupam Mittal, Ana",Seed Funding,N/A,
2622,15/7/2015,Roadrunnr,Hyper local logistics platform,nan,Bangalore,"Sequoia Capital, Ne",Private Equity,"1,10,00,000",Series A
2623,16/7/2015,Ketto,Crowd Funding Platform,nan,Mumbai,"Pradyumna Dalmia,",Seed Funding,"7,00,000",
2624,17/7/2015,QuikWallet,F&B sector Mobile Payment pl,nan,Mumbai,Snow Leopard Tech,Private Equity,"16,00,000",Follow on Funding
2625,17/7/2015,Omnikart,Industrial Supplies B2B ecom,nan,Mumbai,"Sumit Gandhi, Mani",Seed Funding,"1,00,000",
2626,20/7/2015,Zo Rooms,Online budget hotel chain,nan,New Delhi,"Tiger Global, Orios",Private Equity,"1,50,00,000",No confirmation
2627,20/7/2015,Innoviti,Payment Solutions platform,nan,Bangalore,Catamaran Venture,Private Equity,"48,50,000",Series A
2628,21/7/2015,ZenRadius,Online Hiring Platform,nan,Bangalore,"Tracxn Labs, Deepa",Seed Funding,N/A,
2629,21/7/2015,Joy by nature,Organic Food ecommerce,nan,New Delhi,"Mumbai Angels, Vri",Private Equity,"10,00,000",Series A
2630,22/7/2015,Iqlect,Big Data & Analytics platform,nan,Bangalore,Exfinity Venture Par,Private Equity,"20,00,000",Series A
2631,22/7/2015,deGustibus,Fine Dining Restaurant Chain,nan,Mumbai,India Value Fund Ad,Private Equity,"3,00,00,000",Late Stage
2632,23/7/2015,Nestaway,Luxury Rental Homes,nan,Bangalore,"Flipkart, Tiger Globa",Private Equity,"1,27,50,000",Series A
2633,23/7/2015,Mswipe,Mobile Point of Sale payment,nan,,Falcon Edge Capita,Private Equity,"2,50,00,000",Series B
2634,23/7/2015,Myonsto,Online Grocers,nan,Ahmedabad,Jayant Bokadia,Seed Funding,"3,20,000",
2635,23/7/2015,iCrushiFlush,Casual Dating App,nan,Mumbai,IDG Ventures India,Seed Funding,N/A,
2636,23/7/2015,MedGenome,Clinical Genomics Provider,nan,Bangalore,Sequoia Capital,Private Equity,"2,00,00,000",Series B
2637,23/7/2015,HolidayIQ,Travel information portal,nan,Bangalore,MakeMyTrip,Private Equity,"1,50,00,000",Strategic Investment
2638,23/7/2015,Fitternity,Fitness Marketplace,nan,Mumbai,Exfinity Venture Par,Private Equity,"10,00,000",Series A
2639,23/7/2015,Quikr,Online & Mobile classified listi,nan,Mumbai,"AB Kinnevik, Falcon",Private Equity,"6,00,00,000",Late Stage
2640,23/7/2015,JetSetGo,Private Jet/ Helicopter Market,nan,New Delhi,YourWeCan Ventur,Seed Funding,N/A,
2641,24/7/2015,BroEx,Real Estate Broker network A,nan,Gurgaon,Lightspeed India,Private Equity,"10,00,000",Bridge round
2642,25/7/2015,Shopatplaces,Ethnic/ Traditional Fashion Sto,nan,New Delhi,Indian Angel Netwo,Seed Funding,N/A,
2643,25/7/2015,CredR,Used Bikes Marketplace,nan,Mumbai,Fidelity Growth Part,Private Equity,"1,50,00,000",Series A
2644,27/7/2015,ManageMySpa,Spa & Salon Management Sof,nan,Hyderabad,Accel Partners,Private Equity,"60,00,000",Series A
2645,27/7/2015,Townrush,B2B logistics delivery platform,nan,Bangalore,Lightspeed Venture,Seed Funding,N/A,
2646,27/7/2015,Locus,Logistics Automation Platform,nan,Bangalore,"growX ventures, Ma",Seed Funding,N/A,
2647,27/7/2015,Bevy,Online Hiring Platform,nan,Bangalore,Varun Agarwal & Ot,Seed Funding,N/A,
2648,28/7/2015,Pepperfry,Online home d\\xc3\\xa9cor m,nan,Mumbai,"Goldman Sachs, Zo",Private Equity,"10,00,00,000",Series D
2649,28/7/2015,Flipkart.com,Online Marketplace,nan,Bangalore,Steadview Capital a,Private Equity,"70,00,00,000","Late Stage, 10th Round More here"
2650,28/7/2015,Opinio,Hyperlocal food & grocery stor,nan,Bangalore,"Accel Partners, Trax",Seed Funding,"13,00,000",
2651,28/7/2015,Zoctr,Health-Tech platform,nan,Mumbai,"Sandeep Parwal, Kr",Seed Funding,"10,00,000",
2652,29/7/2015,Zimmber,Hyperlocal Handyman Service,nan,Mumbai,"IDG Ventures India,",Private Equity,"20,00,000",Series A
2653,29/7/2015,trueHb,Medical Tech Instruments,nan,New Delhi,Sachin and Binny B,Seed Funding,"24,00,000",
2654,29/7/2015,Zovi.com / Little App,Hyperlocal Deals Marketplace,nan,Bangalore,"Paytm, SAIF Partne",Private Equity,"5,00,00,000",Series A
2655,29/7/2015,Swajal,Innovative Water Solutions,nan,Gurgaon,Abhishek Gupta,Private Equity,"12,00,000",Series A
2656,30/7/2015,Pipa Bella,Online Jewelry Store,nan,Mumbai,LionRock Capital,Private Equity,"6,00,000",Pre-Series A
2657,30/7/2015,Pragmatix,Business intelligence & Analyt,nan,Mumbai,SIDBI Venture Capi,Private Equity,"24,00,000",Series A
2658,30/7/2015,Droom,Used Vehicle Marketplace,nan,New Delhi,"Lightbox Ventures,",Private Equity,"1,60,00,000",Series A
2659,30/7/2015,MadRat Games,Educational Board Games,nan,Bangalore,"Kunal Bahl, Rohit B",Seed Funding,"1,68,000",
2660,30/7/2015,Noodle Play,Chinese food delivery,nan,Mumbai,"Elliot Stechman, Ga",Seed Funding,"1,68,000",
2661,30/7/2015,Wassup,On-Demand Laundry & Dry cl,nan,Chennai,B S Nagesh,Private Equity,N/A,Pre-Series A
2662,30/7/2015,Cartisan,On-Demand Car services App,nan,Bangalore,YouWeCan Venture,Seed Funding,N/A,
2663,31/7/2015,LazyLad,Hyperlocal Grocery App,nan,Gurgaon,"Jai Choi, Kiyohiro S",Private Equity,"5,00,000",pre-Series A
2664,31/7/2015,TripFactory,Online Curated Holiday packa,nan,Bangalore,Aarin Capital Partne,Private Equity,N/A,Series A
2665,31/7/2015,Prothom,Hasbro Toy Manufacturer,nan,Pune,Oliphabs Capital,Private Equity,"20,00,000",Series A
2666,31/7/2015,Bona Vita,Travel Tech,nan,Gurgaon,MakeMyTrip,Private Equity,"50,00,000",Strategic Investment
2667,01/6/2015,Vyomo,Beauty and Wellness Platform,nan,New Delhi,Aprameya Radhakri,Seed Funding,N/A,
2668,01/6/2015,Veeba Foods,Healthy Food Manufacturer,nan,New Delhi,DSG Consumer Par,Private Equity,"60,00,000",Series B
2669,01/6/2015,Truebil,Used Car Marketplace,nan,Mumbai,"Kae Capital, Anupa",Seed Funding,"5,00,000",
2670,01/6/2015,Meritnation,Online Learning Platform,nan,New Delhi,InfoEdge,Private Equity,"40,00,000",Series C
2671,01/6/2015,Eattreatonline,Healthy Food Online Commun,nan,New Delhi,Group of 15 Angel I,Seed Funding,"3,50,000",
